Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,min,max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Group Ranking?,Field Annotation
s4_order4_toppings,icecream_scenario_4,,checkbox,[Order #4] What toppings does [s4_order4_name] want?,"sprinkles,Sprinkles | pecan,Pecan Crumbs | almonds,Almond flakes | caramel,Caramel drizzle | chocolate,Chocolate drizzle | ranch,Ranch Dressing",,,,,,[s4_num_orders] > 3 and [s4_order4_name],y,,,,,
s4_order4_scoops,icecream_scenario_4,,text,[Order #4] How many scoops does [s4_order4_name] want?,,Max scoops: 3,integer,,3,,[s4_num_orders] > 3 and [s4_order4_name],y,,,,,
s4_order4_scoop1,icecream_scenario_4,,radio,[Order #4] What flavor does [s4_order4_name] want for scoop 1?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 3 and [s4_order4_name] and [s4_order4_scoops] > 0,y,,,,,
s4_order4_scoop2,icecream_scenario_4,,radio,[Order #4] What flavor does [s4_order4_name] want for scoop 2?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 3 and [s4_order4_name] and [s4_order4_scoops] > 1,y,,,,,
s4_order4_scoop3,icecream_scenario_4,,radio,[Order #4] What flavor does [s4_order4_name] want for scoop 3?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 3 and [s4_order4_name] and [s4_order4_scoops] > 2,y,,,,,
s4_order5_name,icecream_scenario_4,Order #5 [s4_order5_name],text,[Order #5] Name on the order,,,,,,,[s4_num_orders] > 4,y,,,,,
s4_order5_containers,icecream_scenario_4,,radio,[Order #5] What ice cream container technology for [s4_order5_name]?,"cup,cup | cone,cone | waffle, waffle cone | taco, taco shell",,,,,,[s4_num_orders] > 4 and [s4_order5_name],y,,,,,
s4_order5_toppings,icecream_scenario_4,,checkbox,[Order #5] What toppings does [s4_order5_name] want?,"sprinkles,Sprinkles | pecan,Pecan Crumbs | almonds,Almond flakes | caramel,Caramel drizzle | chocolate,Chocolate drizzle | ranch,Ranch Dressing",,,,,,[s4_num_orders] > 4 and [s4_order5_name],y,,,,,
s4_order5_scoops,icecream_scenario_4,,text,[Order #5] How many scoops does [s4_order5_name] want?,,Max scoops: 3,integer,,3,,[s4_num_orders] > 4 and [s4_order5_name],y,,,,,
s4_order5_scoop1,icecream_scenario_4,,radio,[Order #5] What flavor does [s4_order5_name] want for scoop 1?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 4 and [s4_order5_name] and [s4_order5_scoops] > 0,y,,,,,
s4_order5_scoop2,icecream_scenario_4,,radio,[Order #5] What flavor does [s4_order5_name] want for scoop 2?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 4 and [s4_order5_name] and [s4_order5_scoops] > 1,y,,,,,
s4_order5_scoop3,icecream_scenario_4,,radio,[Order #5] What flavor does [s4_order5_name] want for scoop 3?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 4 and [s4_order5_name] and [s4_order5_scoops] > 2,y,,,,,
s4_order6_name,icecream_scenario_4,Order #6 [s4_order6_name],text,[Order #6] Name on the order,,,,,,,[s4_num_orders] > 5,y,,,,,
s4_order6_containers,icecream_scenario_4,,radio,[Order #6] What ice cream container technology for [s4_order6_name]?,"cup,cup | cone,cone | waffle, waffle cone | taco, taco shell",,,,,,[s4_num_orders] > 5 and [s4_order6_name],y,,,,,
s4_order6_toppings,icecream_scenario_4,,checkbox,[Order #6] What toppings does [s4_order6_name] want?,"sprinkles,Sprinkles | pecan,Pecan Crumbs | almonds,Almond flakes | caramel,Caramel drizzle | chocolate,Chocolate drizzle | ranch,Ranch Dressing",,,,,,[s4_num_orders] > 5 and [s4_order6_name],y,,,,,
s4_order6_scoops,icecream_scenario_4,,text,[Order #6] How many scoops does [s4_order6_name] want?,,Max scoops: 3,integer,,3,,[s4_num_orders] > 5 and [s4_order6_name],y,,,,,
s4_order6_scoop1,icecream_scenario_4,,radio,[Order #6] What flavor does [s4_order6_name] want for scoop 1?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 5 and [s4_order6_name] and [s4_order6_scoops] > 0,y,,,,,
s4_order6_scoop2,icecream_scenario_4,,radio,[Order #6] What flavor does [s4_order6_name] want for scoop 2?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 5 and [s4_order6_name] and [s4_order6_scoops] > 1,y,,,,,
s4_order6_scoop3,icecream_scenario_4,,radio,[Order #6] What flavor does [s4_order6_name] want for scoop 3?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 5 and [s4_order6_name] and [s4_order6_scoops] > 2,y,,,,,
s4_order7_name,icecream_scenario_4,Order #7 [s4_order7_name],text,[Order #7] Name on the order,,,,,,,[s4_num_orders] > 6,y,,,,,
s4_order7_containers,icecream_scenario_4,,radio,[Order #7] What ice cream container technology for [s4_order7_name]?,"cup,cup | cone,cone | waffle, waffle cone | taco, taco shell",,,,,,[s4_num_orders] > 6 and [s4_order7_name],y,,,,,
s4_order7_toppings,icecream_scenario_4,,checkbox,[Order #7] What toppings does [s4_order7_name] want?,"sprinkles,Sprinkles | pecan,Pecan Crumbs | almonds,Almond flakes | caramel,Caramel drizzle | chocolate,Chocolate drizzle | ranch,Ranch Dressing",,,,,,[s4_num_orders] > 6 and [s4_order7_name],y,,,,,
s4_order7_scoops,icecream_scenario_4,,text,[Order #7] How many scoops does [s4_order7_name] want?,,Max scoops: 3,integer,,3,,[s4_num_orders] > 6 and [s4_order7_name],y,,,,,
s4_order7_scoop1,icecream_scenario_4,,radio,[Order #7] What flavor does [s4_order7_name] want for scoop 1?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 6 and [s4_order7_name] and [s4_order7_scoops] > 0,y,,,,,
s4_order7_scoop2,icecream_scenario_4,,radio,[Order #7] What flavor does [s4_order7_name] want for scoop 2?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 6 and [s4_order7_name] and [s4_order7_scoops] > 1,y,,,,,
s4_order7_scoop3,icecream_scenario_4,,radio,[Order #7] What flavor does [s4_order7_name] want for scoop 3?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 6 and [s4_order7_name] and [s4_order7_scoops] > 2,y,,,,,
s4_order8_name,icecream_scenario_4,Order #8 [s4_order8_name],text,[Order #8] Name on the order,,,,,,,[s4_num_orders] > 7,y,,,,,
s4_order8_containers,icecream_scenario_4,,radio,[Order #8] What ice cream container technology for [s4_order8_name]?,"cup,cup | cone,cone | waffle, waffle cone | taco, taco shell",,,,,,[s4_num_orders] > 7 and [s4_order8_name],y,,,,,
s4_order8_toppings,icecream_scenario_4,,checkbox,[Order #8] What toppings does [s4_order8_name] want?,"sprinkles,Sprinkles | pecan,Pecan Crumbs | almonds,Almond flakes | caramel,Caramel drizzle | chocolate,Chocolate drizzle | ranch,Ranch Dressing",,,,,,[s4_num_orders] > 7 and [s4_order8_name],y,,,,,
s4_order8_scoops,icecream_scenario_4,,text,[Order #8] How many scoops does [s4_order8_name] want?,,Max scoops: 3,integer,,3,,[s4_num_orders] > 7 and [s4_order8_name],y,,,,,
s4_order8_scoop1,icecream_scenario_4,,radio,[Order #8] What flavor does [s4_order8_name] want for scoop 1?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 7 and [s4_order8_name] and [s4_order8_scoops] > 0,y,,,,,
s4_order8_scoop2,icecream_scenario_4,,radio,[Order #8] What flavor does [s4_order8_name] want for scoop 2?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 7 and [s4_order8_name] and [s4_order8_scoops] > 1,y,,,,,
s4_order8_scoop3,icecream_scenario_4,,radio,[Order #8] What flavor does [s4_order8_name] want for scoop 3?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 7 and [s4_order8_name] and [s4_order8_scoops] > 2,y,,,,,
s4_order9_name,icecream_scenario_4,Order #9 [s4_order9_name],text,[Order #9] Name on the order,,,,,,,[s4_num_orders] > 8,y,,,,,
s4_order9_containers,icecream_scenario_4,,radio,[Order #9] What ice cream container technology for [s4_order9_name]?,"cup,cup | cone,cone | waffle, waffle cone | taco, taco shell",,,,,,[s4_num_orders] > 8 and [s4_order9_name],y,,,,,
s4_order9_toppings,icecream_scenario_4,,checkbox,[Order #9] What toppings does [s4_order9_name] want?,"sprinkles,Sprinkles | pecan,Pecan Crumbs | almonds,Almond flakes | caramel,Caramel drizzle | chocolate,Chocolate drizzle | ranch,Ranch Dressing",,,,,,[s4_num_orders] > 8 and [s4_order9_name],y,,,,,
s4_order9_scoops,icecream_scenario_4,,text,[Order #9] How many scoops does [s4_order9_name] want?,,Max scoops: 3,integer,,3,,[s4_num_orders] > 8 and [s4_order9_name],y,,,,,
s4_order9_scoop1,icecream_scenario_4,,radio,[Order #9] What flavor does [s4_order9_name] want for scoop 1?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 8 and [s4_order9_name] and [s4_order9_scoops] > 0,y,,,,,
s4_order9_scoop2,icecream_scenario_4,,radio,[Order #9] What flavor does [s4_order9_name] want for scoop 2?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 8 and [s4_order9_name] and [s4_order9_scoops] > 1,y,,,,,
s4_order9_scoop3,icecream_scenario_4,,radio,[Order #9] What flavor does [s4_order9_name] want for scoop 3?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 8 and [s4_order9_name] and [s4_order9_scoops] > 2,y,,,,,
s4_order10_name,icecream_scenario_4,Order #10 [s4_order10_name],text,[Order #10] Name on the order,,,,,,,[s4_num_orders] > 9,y,,,,,
s4_order10_containers,icecream_scenario_4,,radio,[Order #10] What ice cream container technology for [s4_order10_name]?,"cup,cup | cone,cone | waffle, waffle cone | taco, taco shell",,,,,,[s4_num_orders] > 9 and [s4_order10_name],y,,,,,
s4_order10_toppings,icecream_scenario_4,,checkbox,[Order #10] What toppings does [s4_order10_name] want?,"sprinkles,Sprinkles | pecan,Pecan Crumbs | almonds,Almond flakes | caramel,Caramel drizzle | chocolate,Chocolate drizzle | ranch,Ranch Dressing",,,,,,[s4_num_orders] > 9 and [s4_order10_name],y,,,,,
s4_order10_scoops,icecream_scenario_4,,text,[Order #10] How many scoops does [s4_order10_name] want?,,Max scoops: 3,integer,,3,,[s4_num_orders] > 9 and [s4_order10_name],y,,,,,
s4_order10_scoop1,icecream_scenario_4,,radio,[Order #10] What flavor does [s4_order10_name] want for scoop 1?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 9 and [s4_order10_name] and [s4_order10_scoops] > 0,y,,,,,
s4_order10_scoop2,icecream_scenario_4,,radio,[Order #10] What flavor does [s4_order10_name] want for scoop 2?,"vanilla,vanilla | chocolate,chocolate | strawberry,strawberry | banana,banana | chocolate_chunk,chocolate chunk | chocolate_peanut_butter,chocolate peanut butter | moose_tracks,moose tracks | black_cherry,black cherry | mint_chocolate_chip,mint chocolate chip | lingonberry,lingonberry | salmonberry,salmonberry | starfruit,starfruit | halloween,halloween | salmon,salmon | butter_chicken,butter chicken | licorice,licorice | butter,butter | kangaroo,kangaroo",,,,,,[s4_num_orders] > 9 and [s4_order10_name] and [s4_order10_scoops] > 1,y,,,,,
