Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,min,max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Group Ranking?,Field Annotation
s5_order1_fancy_scoops_5,ice_cream_scenario_5,,descriptive,"  <div style=""background: white !important; margin: 16px; border: 2px solid #ccc; border-radius: 4px; margin-top: 0px; padding-top: 0px; border-top: 0; border-top-left-radius: 0; border-top-right-radius: 0; margin-bottom: 0px; border-bottom: 0; border-bottom-left-radius: 0; border-bottom-right-radius: 0;"">    <div style=""padding: 16px;"">Scoop 5 flavor:      <div style=""padding-top: 8px;"">{s5_order1_scoop5}</div>    </div>  </div>",,,,,,,[s5_num_orders] > 0 and [s5_order1_name] and [s5_order1_scoops] > 4 ,,,,,,
s5_order1_fancy_scoops_6,ice_cream_scenario_5,,descriptive,"  <div style=""background: white !important; margin: 16px; border: 2px solid #ccc; border-radius: 4px; margin-top: 0px; padding-top: 0px; border-top: 0; border-top-left-radius: 0; border-top-right-radius: 0; margin-bottom: 0px; border-bottom: 0; border-bottom-left-radius: 0; border-bottom-right-radius: 0;"">    <div style=""padding: 16px;"">Scoop 6 flavor:      <div style=""padding-top: 8px;"">{s5_order1_scoop6}</div>    </div>  </div>",,,,,,,[s5_num_orders] > 0 and [s5_order1_name] and [s5_order1_scoops] > 5 ,,,,,,
s5_order1_fancy_scoops_7,ice_cream_scenario_5,,descriptive,"  <div style=""background: white !important; margin: 16px; border: 2px solid #ccc; border-radius: 4px; margin-top: 0px; padding-top: 0px; border-top: 0; border-top-left-radius: 0; border-top-right-radius: 0; margin-bottom: 0px; border-bottom: 0; border-bottom-left-radius: 0; border-bottom-right-radius: 0;"">    <div style=""padding: 16px;"">Scoop 7 flavor:      <div style=""padding-top: 8px;"">{s5_order1_scoop7}</div>    </div>  </div>",,,,,,,[s5_num_orders] > 0 and [s5_order1_name] and [s5_order1_scoops] > 6 ,,,,,,
s5_order1_fancy_scoops_8,ice_cream_scenario_5,,descriptive,"  <div style=""background: white !important; margin: 16px; border: 2px solid #ccc; border-radius: 4px; margin-top: 0px; padding-top: 0px; border-top: 0; border-top-left-radius: 0; border-top-right-radius: 0; margin-bottom: 0px; border-bottom: 0; border-bottom-left-radius: 0; border-bottom-right-radius: 0;"">    <div style=""padding: 16px;"">Scoop 8 flavor:      <div style=""padding-top: 8px;"">{s5_order1_scoop8}</div>    </div>  </div>",,,,,,,[s5_num_orders] > 0 and [s5_order1_name] and [s5_order1_scoops] > 7 ,,,,,,
s5_order1_fancy_scoops_9,ice_cream_scenario_5,,descriptive,"  <div style=""background: white !important; margin: 16px; border: 2px solid #ccc; border-radius: 4px; margin-top: 0px; padding-top: 0px; border-top: 0; border-top-left-radius: 0; border-top-right-radius: 0; margin-bottom: 0px; border-bottom: 0; border-bottom-left-radius: 0; border-bottom-right-radius: 0;"">    <div style=""padding: 16px;"">Scoop 9 flavor:      <div style=""padding-top: 8px;"">{s5_order1_scoop9}</div>    </div>  </div>",,,,,,,[s5_num_orders] > 0 and [s5_order1_name] and [s5_order1_scoops] > 8 ,,,,,,
s5_order1_scoop1,ice_cream_scenario_5,,radio,[Order #1] What flavor does [s5_order1_name] want for scoop 1?,"vanilla,Vanilla | chocolate,Chocolate | strawberry,Strawberry | banana,Banana | chocolate_chunk,Chocolate Chunk | chocolate_peanut_butter,Chocolate Peanut Butter | moose_tracks,Moose Tracks | black_cherry,Black Cherry | mint_chocolate_chip,Mint Chocolate Chip | lingonberry,Lingonberry | salmonberry,Salmonberry | starfruit,Starfruit | halloween,Halloween | salmon,Salmon | butter_chicken,Butter Chicken | licorice,Licorice | butter,Butter | kangaroo,Kangaroo",,,,,,[s5_num_orders] > 0 and [s5_order1_name] and [s5_order1_scoops] > 0,y,,,,,
s5_order1_scoop2,ice_cream_scenario_5,,radio,[Order #1] What flavor does [s5_order1_name] want for scoop 2?,"vanilla,Vanilla | chocolate,Chocolate | strawberry,Strawberry | banana,Banana | chocolate_chunk,Chocolate Chunk | chocolate_peanut_butter,Chocolate Peanut Butter | moose_tracks,Moose Tracks | black_cherry,Black Cherry | mint_chocolate_chip,Mint Chocolate Chip | lingonberry,Lingonberry | salmonberry,Salmonberry | starfruit,Starfruit | halloween,Halloween | salmon,Salmon | butter_chicken,Butter Chicken | licorice,Licorice | butter,Butter | kangaroo,Kangaroo",,,,,,[s5_num_orders] > 0 and [s5_order1_name] and [s5_order1_scoops] > 1,y,,,,,
s5_order1_scoop3,ice_cream_scenario_5,,radio,[Order #1] What flavor does [s5_order1_name] want for scoop 3?,"vanilla,Vanilla | chocolate,Chocolate | strawberry,Strawberry | banana,Banana | chocolate_chunk,Chocolate Chunk | chocolate_peanut_butter,Chocolate Peanut Butter | moose_tracks,Moose Tracks | black_cherry,Black Cherry | mint_chocolate_chip,Mint Chocolate Chip | lingonberry,Lingonberry | salmonberry,Salmonberry | starfruit,Starfruit | halloween,Halloween | salmon,Salmon | butter_chicken,Butter Chicken | licorice,Licorice | butter,Butter | kangaroo,Kangaroo",,,,,,[s5_num_orders] > 0 and [s5_order1_name] and [s5_order1_scoops] > 2,y,,,,,
s5_order1_scoop4,ice_cream_scenario_5,,radio,[Order #1] What flavor does [s5_order1_name] want for scoop 4?,"vanilla,Vanilla | chocolate,Chocolate | strawberry,Strawberry | banana,Banana | chocolate_chunk,Chocolate Chunk | chocolate_peanut_butter,Chocolate Peanut Butter | moose_tracks,Moose Tracks | black_cherry,Black Cherry | mint_chocolate_chip,Mint Chocolate Chip | lingonberry,Lingonberry | salmonberry,Salmonberry | starfruit,Starfruit | halloween,Halloween | salmon,Salmon | butter_chicken,Butter Chicken | licorice,Licorice | butter,Butter | kangaroo,Kangaroo",,,,,,[s5_num_orders] > 0 and [s5_order1_name] and [s5_order1_scoops] > 3,y,,,,,
s5_order1_scoop5,ice_cream_scenario_5,,radio,[Order #1] What flavor does [s5_order1_name] want for scoop 5?,"vanilla,Vanilla | chocolate,Chocolate | strawberry,Strawberry | banana,Banana | chocolate_chunk,Chocolate Chunk | chocolate_peanut_butter,Chocolate Peanut Butter | moose_tracks,Moose Tracks | black_cherry,Black Cherry | mint_chocolate_chip,Mint Chocolate Chip | lingonberry,Lingonberry | salmonberry,Salmonberry | starfruit,Starfruit | halloween,Halloween | salmon,Salmon | butter_chicken,Butter Chicken | licorice,Licorice | butter,Butter | kangaroo,Kangaroo",,,,,,[s5_num_orders] > 0 and [s5_order1_name] and [s5_order1_scoops] > 4,y,,,,,
s5_order1_scoop6,ice_cream_scenario_5,,radio,[Order #1] What flavor does [s5_order1_name] want for scoop 6?,"vanilla,Vanilla | chocolate,Chocolate | strawberry,Strawberry | banana,Banana | chocolate_chunk,Chocolate Chunk | chocolate_peanut_butter,Chocolate Peanut Butter | moose_tracks,Moose Tracks | black_cherry,Black Cherry | mint_chocolate_chip,Mint Chocolate Chip | lingonberry,Lingonberry | salmonberry,Salmonberry | starfruit,Starfruit | halloween,Halloween | salmon,Salmon | butter_chicken,Butter Chicken | licorice,Licorice | butter,Butter | kangaroo,Kangaroo",,,,,,[s5_num_orders] > 0 and [s5_order1_name] and [s5_order1_scoops] > 5,y,,,,,
s5_order1_scoop7,ice_cream_scenario_5,,radio,[Order #1] What flavor does [s5_order1_name] want for scoop 7?,"vanilla,Vanilla | chocolate,Chocolate | strawberry,Strawberry | banana,Banana | chocolate_chunk,Chocolate Chunk | chocolate_peanut_butter,Chocolate Peanut Butter | moose_tracks,Moose Tracks | black_cherry,Black Cherry | mint_chocolate_chip,Mint Chocolate Chip | lingonberry,Lingonberry | salmonberry,Salmonberry | starfruit,Starfruit | halloween,Halloween | salmon,Salmon | butter_chicken,Butter Chicken | licorice,Licorice | butter,Butter | kangaroo,Kangaroo",,,,,,[s5_num_orders] > 0 and [s5_order1_name] and [s5_order1_scoops] > 6,y,,,,,
s5_order1_scoop8,ice_cream_scenario_5,,radio,[Order #1] What flavor does [s5_order1_name] want for scoop 8?,"vanilla,Vanilla | chocolate,Chocolate | strawberry,Strawberry | banana,Banana | chocolate_chunk,Chocolate Chunk | chocolate_peanut_butter,Chocolate Peanut Butter | moose_tracks,Moose Tracks | black_cherry,Black Cherry | mint_chocolate_chip,Mint Chocolate Chip | lingonberry,Lingonberry | salmonberry,Salmonberry | starfruit,Starfruit | halloween,Halloween | salmon,Salmon | butter_chicken,Butter Chicken | licorice,Licorice | butter,Butter | kangaroo,Kangaroo",,,,,,[s5_num_orders] > 0 and [s5_order1_name] and [s5_order1_scoops] > 7,y,,,,,
s5_order1_scoop9,ice_cream_scenario_5,,radio,[Order #1] What flavor does [s5_order1_name] want for scoop 9?,"vanilla,Vanilla | chocolate,Chocolate | strawberry,Strawberry | banana,Banana | chocolate_chunk,Chocolate Chunk | chocolate_peanut_butter,Chocolate Peanut Butter | moose_tracks,Moose Tracks | black_cherry,Black Cherry | mint_chocolate_chip,Mint Chocolate Chip | lingonberry,Lingonberry | salmonberry,Salmonberry | starfruit,Starfruit | halloween,Halloween | salmon,Salmon | butter_chicken,Butter Chicken | licorice,Licorice | butter,Butter | kangaroo,Kangaroo",,,,,,[s5_num_orders] > 0 and [s5_order1_name] and [s5_order1_scoops] > 8,y,,,,,
s5_order2_fancy_name,ice_cream_scenario_5,,descriptive,"<div style=""background: white !important; padding: 16px; margin: 16px; border: 2px solid #ccc; border-radius: 4px; margin-bottom: 0px; border-bottom: 0; border-bottom-left-radius: 0; border-bottom-right-radius: 0; "">  <div>Name on order #2    <div style=""padding-top: 8px;"">{s5_order2_name}<div>  </div></div>",,,,,,,[s5_num_orders] > 1,,,,,,
s5_order2_fancy_basics,ice_cream_scenario_5,,descriptive,"<div style=""background: white !important; margin: 16px; border: 2px solid #ccc; border-radius: 4px; margin-top: 0px; padding-top: 0px; border-top: 0; border-top-left-radius: 0; border-top-right-radius: 0; margin-bottom: 0px; border-bottom: 0; border-bottom-left-radius: 0; border-bottom-right-radius: 0;"">  <div style=""display: grid; grid-template-columns: 1fr 1fr;"">    <div style=""padding: 16px;"">Holder:      <div style=""padding-top: 8px;"">{s5_order2_containers}</div>    </div>    <div style=""padding: 16px;"">Toppings:      <div style=""padding-top: 8px;"">{s5_order2_toppings}</div>    </div>  </div>  <div style=""padding: 16px;"">How many scoops of ice cream for [s5_order2_name]?    <div>{s5_order2_scoops}</div>  </div></div>",,,,,,,[s5_num_orders] > 1 and [s5_order2_name],,,,,,
s5_order2_name,ice_cream_scenario_5,,text,[Order #2] Name on the order,,,,,,,[s5_num_orders] > 1,y,,,,,
s5_order2_containers,ice_cream_scenario_5,,radio,[Order #2] What ice cream container technology for [s5_order2_name]?,"cup,Cup | cone,Cone | Waffle, Waffle Cone | taco, Taco shell | burrito, Burrito",,,,,,[s5_num_orders] > 1 and [s5_order2_name],y,,,,,
s5_order2_toppings,ice_cream_scenario_5,,checkbox,[Order #2] What toppings does [s5_order2_name] want?,"sprinkles,Sprinkles | pecan,Pecan Crumbs | almonds,Almond flakes | caramel,Caramel drizzle | chocolate,Chocolate drizzle | ranch,Ranch Dressing | jerky, Beef Jerky",,,,,,[s5_num_orders] > 1 and [s5_order2_name],y,,,,,
s5_order2_scoops,ice_cream_scenario_5,,text,[Order #2] How many scoops does [s5_order2_name] want?,,Max scoops: 9,integer,,9,,[s5_num_orders] > 1 and [s5_order2_name],y,,,,,
s5_order2_bottom,ice_cream_scenario_5,,descriptive,"<div style=""background: white !important; margin: 16px; border: 2px solid #ccc; border-radius: 4px; margin-top: 0px; padding-top: 0px; border-top: 0; border-top-left-radius: 0; border-top-right-radius: 0; margin-bottom: 8px; border-bottom: 2px solid #ccc; border-bottom-left-radius: 4px; border-bottom-right-radius: 4px;""><br></div>",,,,,,,[s5_num_orders] > 1,,,,,,
s5_order2_fancy_scoops_1,ice_cream_scenario_5,,descriptive,"  <div style=""background: white !important; margin: 16px; border: 2px solid #ccc; border-radius: 4px; margin-top: 0px; padding-top: 0px; border-top: 0; border-top-left-radius: 0; border-top-right-radius: 0; margin-bottom: 0px; border-bottom: 0; border-bottom-left-radius: 0; border-bottom-right-radius: 0;"">    <div style=""padding: 16px;"">Scoop 1 flavor:      <div style=""padding-top: 8px;"">{s5_order2_scoop1}</div>    </div>  </div>",,,,,,,[s5_num_orders] > 1 and [s5_order2_name] and [s5_order2_scoops] > 0 ,,,,,,
s5_order2_fancy_scoops_2,ice_cream_scenario_5,,descriptive,"  <div style=""background: white !important; margin: 16px; border: 2px solid #ccc; border-radius: 4px; margin-top: 0px; padding-top: 0px; border-top: 0; border-top-left-radius: 0; border-top-right-radius: 0; margin-bottom: 0px; border-bottom: 0; border-bottom-left-radius: 0; border-bottom-right-radius: 0;"">    <div style=""padding: 16px;"">Scoop 2 flavor:      <div style=""padding-top: 8px;"">{s5_order2_scoop2}</div>    </div>  </div>",,,,,,,[s5_num_orders] > 1 and [s5_order2_name] and [s5_order2_scoops] > 1 ,,,,,,
s5_order2_fancy_scoops_3,ice_cream_scenario_5,,descriptive,"  <div style=""background: white !important; margin: 16px; border: 2px solid #ccc; border-radius: 4px; margin-top: 0px; padding-top: 0px; border-top: 0; border-top-left-radius: 0; border-top-right-radius: 0; margin-bottom: 0px; border-bottom: 0; border-bottom-left-radius: 0; border-bottom-right-radius: 0;"">    <div style=""padding: 16px;"">Scoop 3 flavor:      <div style=""padding-top: 8px;"">{s5_order2_scoop3}</div>    </div>  </div>",,,,,,,[s5_num_orders] > 1 and [s5_order2_name] and [s5_order2_scoops] > 2 ,,,,,,
s5_order2_fancy_scoops_4,ice_cream_scenario_5,,descriptive,"  <div style=""background: white !important; margin: 16px; border: 2px solid #ccc; border-radius: 4px; margin-top: 0px; padding-top: 0px; border-top: 0; border-top-left-radius: 0; border-top-right-radius: 0; margin-bottom: 0px; border-bottom: 0; border-bottom-left-radius: 0; border-bottom-right-radius: 0;"">    <div style=""padding: 16px;"">Scoop 4 flavor:      <div style=""padding-top: 8px;"">{s5_order2_scoop4}</div>    </div>  </div>",,,,,,,[s5_num_orders] > 1 and [s5_order2_name] and [s5_order2_scoops] > 3 ,,,,,,
s5_order2_fancy_scoops_5,ice_cream_scenario_5,,descriptive,"  <div style=""background: white !important; margin: 16px; border: 2px solid #ccc; border-radius: 4px; margin-top: 0px; padding-top: 0px; border-top: 0; border-top-left-radius: 0; border-top-right-radius: 0; margin-bottom: 0px; border-bottom: 0; border-bottom-left-radius: 0; border-bottom-right-radius: 0;"">    <div style=""padding: 16px;"">Scoop 5 flavor:      <div style=""padding-top: 8px;"">{s5_order2_scoop5}</div>    </div>  </div>",,,,,,,[s5_num_orders] > 1 and [s5_order2_name] and [s5_order2_scoops] > 4 ,,,,,,
s5_order2_fancy_scoops_6,ice_cream_scenario_5,,descriptive,"  <div style=""background: white !important; margin: 16px; border: 2px solid #ccc; border-radius: 4px; margin-top: 0px; padding-top: 0px; border-top: 0; border-top-left-radius: 0; border-top-right-radius: 0; margin-bottom: 0px; border-bottom: 0; border-bottom-left-radius: 0; border-bottom-right-radius: 0;"">    <div style=""padding: 16px;"">Scoop 6 flavor:      <div style=""padding-top: 8px;"">{s5_order2_scoop6}</div>    </div>  </div>",,,,,,,[s5_num_orders] > 1 and [s5_order2_name] and [s5_order2_scoops] > 5 ,,,,,,
s5_order2_fancy_scoops_7,ice_cream_scenario_5,,descriptive,"  <div style=""background: white !important; margin: 16px; border: 2px solid #ccc; border-radius: 4px; margin-top: 0px; padding-top: 0px; border-top: 0; border-top-left-radius: 0; border-top-right-radius: 0; margin-bottom: 0px; border-bottom: 0; border-bottom-left-radius: 0; border-bottom-right-radius: 0;"">    <div style=""padding: 16px;"">Scoop 7 flavor:      <div style=""padding-top: 8px;"">{s5_order2_scoop7}</div>    </div>  </div>",,,,,,,[s5_num_orders] > 1 and [s5_order2_name] and [s5_order2_scoops] > 6 ,,,,,,
s5_order2_fancy_scoops_8,ice_cream_scenario_5,,descriptive,"  <div style=""background: white !important; margin: 16px; border: 2px solid #ccc; border-radius: 4px; margin-top: 0px; padding-top: 0px; border-top: 0; border-top-left-radius: 0; border-top-right-radius: 0; margin-bottom: 0px; border-bottom: 0; border-bottom-left-radius: 0; border-bottom-right-radius: 0;"">    <div style=""padding: 16px;"">Scoop 8 flavor:      <div style=""padding-top: 8px;"">{s5_order2_scoop8}</div>    </div>  </div>",,,,,,,[s5_num_orders] > 1 and [s5_order2_name] and [s5_order2_scoops] > 7 ,,,,,,
s5_order2_fancy_scoops_9,ice_cream_scenario_5,,descriptive,"  <div style=""background: white !important; margin: 16px; border: 2px solid #ccc; border-radius: 4px; margin-top: 0px; padding-top: 0px; border-top: 0; border-top-left-radius: 0; border-top-right-radius: 0; margin-bottom: 0px; border-bottom: 0; border-bottom-left-radius: 0; border-bottom-right-radius: 0;"">    <div style=""padding: 16px;"">Scoop 9 flavor:      <div style=""padding-top: 8px;"">{s5_order2_scoop9}</div>    </div>  </div>",,,,,,,[s5_num_orders] > 1 and [s5_order2_name] and [s5_order2_scoops] > 8 ,,,,,,
s5_order2_scoop1,ice_cream_scenario_5,,radio,[Order #2] What flavor does [s5_order2_name] want for scoop 1?,"vanilla,Vanilla | chocolate,Chocolate | strawberry,Strawberry | banana,Banana | chocolate_chunk,Chocolate Chunk | chocolate_peanut_butter,Chocolate Peanut Butter | moose_tracks,Moose Tracks | black_cherry,Black Cherry | mint_chocolate_chip,Mint Chocolate Chip | lingonberry,Lingonberry | salmonberry,Salmonberry | starfruit,Starfruit | halloween,Halloween | salmon,Salmon | butter_chicken,Butter Chicken | licorice,Licorice | butter,Butter | kangaroo,Kangaroo",,,,,,[s5_num_orders] > 1 and [s5_order2_name] and [s5_order2_scoops] > 0,y,,,,,
s5_order2_scoop2,ice_cream_scenario_5,,radio,[Order #2] What flavor does [s5_order2_name] want for scoop 2?,"vanilla,Vanilla | chocolate,Chocolate | strawberry,Strawberry | banana,Banana | chocolate_chunk,Chocolate Chunk | chocolate_peanut_butter,Chocolate Peanut Butter | moose_tracks,Moose Tracks | black_cherry,Black Cherry | mint_chocolate_chip,Mint Chocolate Chip | lingonberry,Lingonberry | salmonberry,Salmonberry | starfruit,Starfruit | halloween,Halloween | salmon,Salmon | butter_chicken,Butter Chicken | licorice,Licorice | butter,Butter | kangaroo,Kangaroo",,,,,,[s5_num_orders] > 1 and [s5_order2_name] and [s5_order2_scoops] > 1,y,,,,,
s5_order2_scoop3,ice_cream_scenario_5,,radio,[Order #2] What flavor does [s5_order2_name] want for scoop 3?,"vanilla,Vanilla | chocolate,Chocolate | strawberry,Strawberry | banana,Banana | chocolate_chunk,Chocolate Chunk | chocolate_peanut_butter,Chocolate Peanut Butter | moose_tracks,Moose Tracks | black_cherry,Black Cherry | mint_chocolate_chip,Mint Chocolate Chip | lingonberry,Lingonberry | salmonberry,Salmonberry | starfruit,Starfruit | halloween,Halloween | salmon,Salmon | butter_chicken,Butter Chicken | licorice,Licorice | butter,Butter | kangaroo,Kangaroo",,,,,,[s5_num_orders] > 1 and [s5_order2_name] and [s5_order2_scoops] > 2,y,,,,,
s5_order2_scoop4,ice_cream_scenario_5,,radio,[Order #2] What flavor does [s5_order2_name] want for scoop 4?,"vanilla,Vanilla | chocolate,Chocolate | strawberry,Strawberry | banana,Banana | chocolate_chunk,Chocolate Chunk | chocolate_peanut_butter,Chocolate Peanut Butter | moose_tracks,Moose Tracks | black_cherry,Black Cherry | mint_chocolate_chip,Mint Chocolate Chip | lingonberry,Lingonberry | salmonberry,Salmonberry | starfruit,Starfruit | halloween,Halloween | salmon,Salmon | butter_chicken,Butter Chicken | licorice,Licorice | butter,Butter | kangaroo,Kangaroo",,,,,,[s5_num_orders] > 1 and [s5_order2_name] and [s5_order2_scoops] > 3,y,,,,,
s5_order2_scoop5,ice_cream_scenario_5,,radio,[Order #2] What flavor does [s5_order2_name] want for scoop 5?,"vanilla,Vanilla | chocolate,Chocolate | strawberry,Strawberry | banana,Banana | chocolate_chunk,Chocolate Chunk | chocolate_peanut_butter,Chocolate Peanut Butter | moose_tracks,Moose Tracks | black_cherry,Black Cherry | mint_chocolate_chip,Mint Chocolate Chip | lingonberry,Lingonberry | salmonberry,Salmonberry | starfruit,Starfruit | halloween,Halloween | salmon,Salmon | butter_chicken,Butter Chicken | licorice,Licorice | butter,Butter | kangaroo,Kangaroo",,,,,,[s5_num_orders] > 1 and [s5_order2_name] and [s5_order2_scoops] > 4,y,,,,,
s5_order2_scoop6,ice_cream_scenario_5,,radio,[Order #2] What flavor does [s5_order2_name] want for scoop 6?,"vanilla,Vanilla | chocolate,Chocolate | strawberry,Strawberry | banana,Banana | chocolate_chunk,Chocolate Chunk | chocolate_peanut_butter,Chocolate Peanut Butter | moose_tracks,Moose Tracks | black_cherry,Black Cherry | mint_chocolate_chip,Mint Chocolate Chip | lingonberry,Lingonberry | salmonberry,Salmonberry | starfruit,Starfruit | halloween,Halloween | salmon,Salmon | butter_chicken,Butter Chicken | licorice,Licorice | butter,Butter | kangaroo,Kangaroo",,,,,,[s5_num_orders] > 1 and [s5_order2_name] and [s5_order2_scoops] > 5,y,,,,,
s5_order2_scoop7,ice_cream_scenario_5,,radio,[Order #2] What flavor does [s5_order2_name] want for scoop 7?,"vanilla,Vanilla | chocolate,Chocolate | strawberry,Strawberry | banana,Banana | chocolate_chunk,Chocolate Chunk | chocolate_peanut_butter,Chocolate Peanut Butter | moose_tracks,Moose Tracks | black_cherry,Black Cherry | mint_chocolate_chip,Mint Chocolate Chip | lingonberry,Lingonberry | salmonberry,Salmonberry | starfruit,Starfruit | halloween,Halloween | salmon,Salmon | butter_chicken,Butter Chicken | licorice,Licorice | butter,Butter | kangaroo,Kangaroo",,,,,,[s5_num_orders] > 1 and [s5_order2_name] and [s5_order2_scoops] > 6,y,,,,,
