Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,min,max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Group Ranking?,Field Annotation
s3_order8_name,icecream_scenario_3,Order #8 [s3_order8_name],text,[Order #8] Name on the order,,,,,,,[s3_num_orders] > 7,y,,,,,
s3_order8_cup_cone,icecream_scenario_3,,radio,[Order #8] Cup or Cone for [s3_order8_name]?,"cup,cup | cone,cone",,,,,,[s3_num_orders] > 7 and [s3_order8_name],y,,,,,
s3_order8_flavor,icecream_scenario_3,,radio,[Order #8] What flavor does [s3_order8_name] want?,"vanilla, vanilla | chocolate, chocolate | strawberry, strawberry",,,,,,[s3_num_orders] > 7 and [s3_order8_name],y,,,,,
s3_order8_scoops,icecream_scenario_3,,text,[Order #8] How many scoops does [s3_order8_name] want?,,Max scoops: 3,integer,,3,,[s3_num_orders] > 7 and [s3_order8_name],y,,,,,
s3_order9_name,icecream_scenario_3,Order #9 [s3_order9_name],text,[Order #9] Name on the order,,,,,,,[s3_num_orders] > 8,y,,,,,
s3_order9_cup_cone,icecream_scenario_3,,radio,[Order #9] Cup or Cone for [s3_order9_name]?,"cup,cup | cone,cone",,,,,,[s3_num_orders] > 8 and [s3_order9_name],y,,,,,
s3_order9_flavor,icecream_scenario_3,,radio,[Order #9] What flavor does [s3_order9_name] want?,"vanilla, vanilla | chocolate, chocolate | strawberry, strawberry",,,,,,[s3_num_orders] > 8 and [s3_order9_name],y,,,,,
s3_order9_scoops,icecream_scenario_3,,text,[Order #9] How many scoops does [s3_order9_name] want?,,Max scoops: 3,integer,,3,,[s3_num_orders] > 8 and [s3_order9_name],y,,,,,
s3_order10_name,icecream_scenario_3,Order #10 [s3_order10_name],text,[Order #10] Name on the order,,,,,,,[s3_num_orders] > 9,y,,,,,
s3_order10_cup_cone,icecream_scenario_3,,radio,[Order #10] Cup or Cone for [s3_order10_name]?,"cup,cup | cone,cone",,,,,,[s3_num_orders] > 9 and [s3_order10_name],y,,,,,
s3_order10_flavor,icecream_scenario_3,,radio,[Order #10] What flavor does [s3_order10_name] want?,"vanilla, vanilla | chocolate, chocolate | strawberry, strawberry",,,,,,[s3_num_orders] > 9 and [s3_order10_name],y,,,,,
s3_order10_scoops,icecream_scenario_3,,text,[Order #10] How many scoops does [s3_order10_name] want?,,Max scoops: 3,integer,,3,,[s3_num_orders] > 9 and [s3_order10_name],y,,,,,
